Model,Accuracy,Precision,Recall,F1-score,AUC,Balanced Accuracy
HistGradientBoostingClassifier,0.9002961500493584,0.7676565008025682,0.7054031354983202,0.7305801402490566,0.7054031354983202,0.7054031354983202
AdaBoostClassifier,0.9002961500493584,0.7680313267813268,0.7035997573721539,0.7294337606837606,0.7035997573721537,0.7035997573721539
GradientBoostingClassifier,0.8993089832181639,0.7664347224357988,0.6940229563269876,0.7220087815587266,0.6940229563269877,0.6940229563269876
ExtraTreesClassifier,0.9002961500493584,0.7738127001067236,0.681959219858156,0.7147513103602097,0.681959219858156,0.681959219858156
RandomForestClassifier,0.8983218163869694,0.7657171260112436,0.6808393990294886,0.7117261233782022,0.6808393990294886,0.6808393990294886
LinearDiscriminantAnalysis,0.8943731490621916,0.7504469490866692,0.6804031354983202,0.7071059721295219,0.6804031354983202,0.6804031354983202
LinearSVC,0.8958538993089832,0.7568525012524154,0.6758328667413214,0.7053923578686937,0.6758328667413214,0.6758328667413214
BaggingClassifier,0.8938795656465943,0.7494096881088372,0.674713045912654,0.7024762115527396,0.674713045912654,0.674713045912654
GaussianNB,0.866238894373149,0.687214179834106,0.7077267637178051,0.6965676329450203,0.7077267637178052,0.7077267637178051
MLPClassifier,0.9012833168805529,0.7925549870305226,0.6536650802538261,0.6935994652357893,0.6536650802538261,0.6536650802538261
MultinomialNB,0.8721618953603159,0.6937517121563688,0.6930524449421426,0.6934010413288716,0.6930524449421427,0.6930524449421426
ComplementNB,0.8558736426456071,0.674135796809096,0.7126679731243002,0.6899984908444563,0.7126679731243002,0.7126679731243002
QuadraticDiscriminantAnalysis,0.861796643632774,0.6778875176068146,0.6979936543486376,0.68701447740113,0.6979936543486376,0.6979936543486376
BernoulliNB,0.8144126357354393,0.6589372561594784,0.7775172639044419,0.6845224783780515,0.7775172639044419,0.7775172639044419
SGDClassifier,0.8277393879565647,0.6579276044670789,0.747205113848451,0.6829996659964179,0.747205113848451,0.747205113848451
LogisticRegression,0.8973346495557749,0.7745576164587997,0.6442119260918253,0.6813434438452208,0.6442119260918253,0.6442119260918253
DecisionTreeClassifier,0.8588351431391905,0.6715176235830707,0.690903788727137,0.6803076447740113,0.6909037887271369,0.690903788727137
LogisticRegressionCV,0.8963474827245804,0.770058273815869,0.6418486375513252,0.6782794384975788,0.6418486375513252,0.6418486375513252
NearestCentroid,0.7941757156959526,0.6547407420926794,0.7966965285554312,0.6755662619510908,0.7966965285554313,0.7966965285554312
ExtraTreeClassifier,0.8593287265547878,0.6659897892074771,0.6713465845464726,0.6685945703024783,0.6713465845464726,0.6713465845464726
RidgeClassifier,0.8978282329713722,0.7912698629016872,0.6246547219111609,0.6631997397997904,0.6246547219111608,0.6246547219111609
RidgeClassifierCV,0.8973346495557749,0.7892989295625743,0.6225713885778276,0.66065072651899,0.6225713885778275,0.6225713885778276
GaussianProcessClassifier,0.8622902270483712,0.6600178470412952,0.640565509518477,0.6492232078861389,0.6405655095184771,0.640565509518477
KNeighborsClassifier,0.8805528134254689,0.7000135995648139,0.6166596677864875,0.6418507480130903,0.6166596677864874,0.6166596677864875
CalibratedClassifierCV,0.8968410661401777,0.8276853126433905,0.5916340052258305,0.6249646827291239,0.5916340052258305,0.5916340052258305
Perceptron,0.8800592300098716,0.6943451398161309,0.5947391750653228,0.6190512300488955,0.5947391750653228,0.5947391750653228
SVC,0.8919052319842053,0.7805397560114541,0.5834243187756626,0.6117602278544146,0.5834243187756626,0.5834243187756626
PassiveAggressiveClassifier,0.8909180651530109,0.798764688806941,0.564830627099664,0.5856333088088992,0.564830627099664,0.564830627099664
LabelPropagation,0.8489634748272458,0.5198348445595855,0.5085736282194848,0.5034695525142242,0.5085736282194848,0.5085736282194848
LabelSpreading,0.8489634748272458,0.5198348445595855,0.5085736282194848,0.5034695525142242,0.5085736282194848,0.5085736282194848
DummyClassifier,0.8815399802566634,0.4407699901283317,0.5,0.46852046169989503,0.5,0.5
